
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x06","0x09","0x10","0x16","0x20","0x24","0x28","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x83","0x87","0x93","0x96","0x9C","0x9F","0xA0","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","6","9","16","22","32","36","40","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","INVERT","EQUAL","ADD","DIV","NUMEQUAL","LT","GT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","1"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","0","// No source code available","38","11","2","2","1","1","2","0","0","1","1","36","99","24","15","4","4","3","2","2","2","2","2","2","1","1","0","84","15","0","5","12","22","147","147","16","12","137","0","58","2","9","1","0","1","1","0","2","2","1","0","1","84","60","13","8"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","196","        }","91","24","0","1","1","3","8","2","2","4","0","78","215","51","40","21","13","7","3","2","4","5","3","4","4","3","2","152","56","9","22","27","40","368","368","3","27","351","0","146","19","10","0","1","12","10","1","4","11","3","11","3","205","156","32","2"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","187","            Runtime.Notify(''Operation'', operation);","98","26","0","1","1","1","3","0","2","0","0","93","259","58","46","26","24","14","3","2","5","9","5","2","2","3","2","176","60","10","24","31","46","430","430","15","41","407","8","172","25","17","0","3","9","9","1","3","10","5","9","1","235","178","34","4"
"","","Tally by Opcode>","227","61","2","4","3","5","13","2","4","5","1","207","573","133","101","51","41","24","8","6","11","16","10","8","7","7","4","412","131","19","51","70","108","945","945","34","80","895","8","376","46","36","1","4","22","20","2","9","23","9","20","5","524","394","79","14"
"","","Total Tally>","6816"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x06","0x09","0x10","0x16","0x20","0x24","0x28","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x83","0x87","0x93","0x96","0x9C","0x9F","0xA0","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","6","9","16","22","32","36","40","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","INVERT","EQUAL","ADD","DIV","NUMEQUAL","LT","GT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","1"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,015","0","0,005","0,012","0,022","0,147","0,147","0,016","0,012","0,137","0","0,058","0,002","0,009","0","0","0","0","0","0,002","0,002","0","0","0","0,084","0,06","0,013","8"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","196","        }","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,056","0,009","0,022","0,027","0,04","0,368","0,368","0,003","0,027","0,351","0","0,146","0,019","0,01","0","0,001","0,012","0,01","0,001","0,004","0,011","0,003","0,011","0,003","0,205","0,156","0,032","2"
